name,url
Aberdeen,http://www.theguardian.com/education/2009/may/10/universityguide-uni-aberdeen
Abertay Dundee,http://www.theguardian.com/education/2009/may/10/universityguide-uni-abertay-dundee
Aberystwyth,http://www.theguardian.com/education/2009/may/10/universityguide-aberystwyth-uni
Anglia Ruskin,http://www.theguardian.com/education/2009/may/10/universityguide-anglia-ruskin-uni
Arts University Bournemouth,http://www.theguardian.com/education/2009/may/10/universityguide-arts-institute-at-bournemouth
Aston,http://www.theguardian.com/education/2009/may/10/universityguide-aston
Bangor,http://www.theguardian.com/education/2009/may/10/universityguide-bangor-uni
Bath Spa,http://www.theguardian.com/education/2009/may/10/universityguide-bath-spa-uni
Bath,http://www.theguardian.com/education/2009/may/10/universityguide-uni-bath
Bedfordshire,http://www.theguardian.com/education/2009/may/10/universityguide-uni-bedfordshire
Birkbeck,http://www.theguardian.com/education/2009/may/10/universityguide-birkbeck-uni-london
Birmingham City,http://www.theguardian.com/education/2009/may/10/universityguide-birmingham-city-uni
Birmingham,http://www.theguardian.com/education/2009/may/10/universityguide-uni-birmingham
Bishop Grosseteste,http://www.theguardian.com/education/2009/may/10/universityguide-bishop-grosseteste-uc-lincoln
Bolton,http://www.theguardian.com/education/2009/may/10/universityguide-uni-bolton
Bournemouth,http://www.theguardian.com/education/2009/may/10/universityguide-bournemouth-uni
Bradford,http://www.theguardian.com/education/2009/may/10/universityguide-uni-bradford
Brighton,http://www.theguardian.com/education/2009/may/10/universityguide-uni-brighton
Brighton Sussex Medical School,http://www.theguardian.com/education/2011/may/16/universityguide-brightonandsussexmedicalschool
Bristol,http://www.theguardian.com/education/2009/may/10/universityguide-uni-bristol
Brunel,http://www.theguardian.com/education/2009/may/10/universityguide-brunel-uni
Buckingham,http://www.theguardian.com/education/2009/may/10/universityguide-uni-buckingham
Bucks New University,http://www.theguardian.com/education/2009/may/10/universityguide-buckinghamshire-new-uni
Cambridge,http://www.theguardian.com/education/2009/may/10/universityguide-uni-cambridge
Canterbury Christ Church,http://www.theguardian.com/education/2009/may/10/universityguide-canterbury-christ-church-uni
Cardiff ,http://www.theguardian.com/education/2009/may/10/universityguide-cardiff-uni
Cardiff Met,http://www.theguardian.com/education/2009/may/10/universityguide-uni-wales-institute-cardiff
Central Lancashire,http://www.theguardian.com/education/2009/may/10/universityguide-uni-central-lancashire
Chester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-chester 
Chichester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-chichester
City,http://www.theguardian.com/education/2009/may/10/universityguide-city-uni-london
Conservatoire for Dance and Drama,http://www.theguardian.com/education/2009/may/10/university-guide-conservatoire-dance-drama
Courtauld Institute,http://www.theguardian.com/education/2009/may/10/universityguide-courtauld-institute-art
Coventry,http://www.theguardian.com/education/2009/may/10/universityguide-coventry-uni
Cranfield University,http://www.theguardian.com/education/2007/may/01/universityguide.highereducation9
University for the Creative Arts,http://www.theguardian.com/education/2009/may/10/universityguide-uni-for-creative-arts
Cumbria,http://www.theguardian.com/education/2009/may/10/universityguide-uni-cumbria
De Montfort,http://www.theguardian.com/education/2009/may/10/universityguide-de-montfort-uni
Derby,http://www.theguardian.com/education/2009/may/10/universityguide-uni-derby
Dundee,http://www.theguardian.com/education/2009/may/10/universityguide-uni-dundee
Durham,http://www.theguardian.com/education/2009/may/10/universityguide-uni-durham
East London,http://www.theguardian.com/education/2009/may/10/universityguide-uni-east-london
Edge Hill ,http://www.theguardian.com/education/2009/may/10/universityguide-edge-hill-uni
Edinburgh Napier ,http://www.theguardian.com/education/2009/may/10/universityguide-edinburgh-napier-uni
Edinburgh,http://www.theguardian.com/education/2009/may/10/universityguide-uni-edinburgh
Essex,http://www.theguardian.com/education/2009/may/10/universityguide-uni-essex
Exeter,http://www.theguardian.com/education/2009/may/10/universityguide-uni-exeter
Falmouth,http://www.theguardian.com/education/2009/may/10/universityguide-uc-falmouth-dartington-coll-arts
Glasgow Caledonian,http://www.theguardian.com/education/2009/may/10/universityguide-glasgow-caledonian-uni
Glasgow School of Art,http://www.theguardian.com/education/2009/may/10/universityguide-glasgow-school-art
Glasgow,http://www.theguardian.com/education/2009/may/10/universityguide-uni-glasgow
Gloucestershire,http://www.theguardian.com/education/2009/may/10/universityguide-uni-gloucestershire
Goldsmiths,http://www.theguardian.com/education/2009/may/10/universityguide-goldsmiths-uni-london
Greenwich,http://www.theguardian.com/education/2009/may/10/universityguide-uni-greenwich
Glyndwr,http://www.theguardian.com/education/2009/may/10/universityguide-glyndwr-uni
Guildhall School of Music and Drama,http://www.theguardian.com/education/2009/may/10/universityguide-guildhall-school-music-drama
Harper Adams ,http://www.theguardian.com/education/2009/may/10/universityguide-harper-adams-uc
Heriot-Watt ,http://www.theguardian.com/education/2009/may/10/universityguide-heriot-watt-uni
Hertfordshire,http://www.theguardian.com/education/2009/may/10/universityguide-uni-hertfordshire
Heythrop College,http://www.theguardian.com/education/2010/jun/08/university-guide-profile-heythrop-college
Highlands & Islands,http://www.theguardian.com/education/2009/may/10/universityguide-uhi-millennium-institute
Huddersfield,http://www.theguardian.com/education/2009/may/10/universityguide-uni-huddersfield
Hull,http://www.theguardian.com/education/2009/may/10/universityguide-uni-hull
Hull York Medical School,http://www.theguardian.com/education/2014/jun/03/universityguide-hull-york-medical-school
Imperial College,http://www.theguardian.com/education/2009/may/10/universityguide-imperial-coll-london
Institute of Cancer Research,
Institute of Education,http://www.theguardian.com/education/2011/may/16/universityguide-institute-of-education
Keele,http://www.theguardian.com/education/2009/may/10/universityguide-keele-uni
Kent,http://www.theguardian.com/education/2009/may/10/universityguide-uni-kent
King's College London,http://www.theguardian.com/education/2009/may/10/universityguide-king-s-coll-london
Kingston,http://www.theguardian.com/education/2009/may/10/universityguide-kingston-uni
Kingston - St George's University,http://www.theguardian.com/education/the-faculty-of-health-social-care-and-education-kingston-university-and-st-george-s-university-of-london
Lancaster,http://www.theguardian.com/education/2009/may/10/universityguide-lancaster-uni
The University of Law,http://www.theguardian.com/education/2012/may/22/the-college-of-law-universityguide
Leeds College of Art,http://www.theguardian.com/education/2013/jul/18/universityguide-leeds-college-of-art
Leeds College of Music,http://www.theguardian.com/education/2009/may/10/universityguide-leeds-coll-music
Leeds Beckett,http://www.theguardian.com/education/2009/may/10/universityguide-leeds-metropolitan-uni
Leeds Trinity,http://www.theguardian.com/education/2009/may/10/universityguide-leeds-trinity-all-saints
Leeds,http://www.theguardian.com/education/2009/may/10/universityguide-uni-leeds
Leicester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-leicester
Lincoln,http://www.theguardian.com/education/2009/may/10/universityguide-uni-lincoln
Liverpool Hope,http://www.theguardian.com/education/2009/may/10/universityguide-liverpool-hope-uni
Liverpool John Moores,http://www.theguardian.com/education/2009/may/10/universityguide-liverpool-john-moores-uni
Liverpool,http://www.theguardian.com/education/2009/may/10/universityguide-uni-liverpool
London Business School,
London Met,http://www.theguardian.com/education/2009/may/10/universityguide-london-metropolitan-uni
London School of Economics,http://www.theguardian.com/education/2009/may/10/universityguide-london-school-economics-political-science
London School of Hygiene and Tropical Medicine,
London South Bank,http://www.theguardian.com/education/2009/may/10/universityguide-london-south-bank-uni
Loughborough,http://www.theguardian.com/education/2009/may/10/universityguide-loughborough-uni
Manchester Met,http://www.theguardian.com/education/2009/may/10/universityguide-manchester-metropolitan-uni
Manchester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-manchester
Manchester School of Architecture,http://www.theguardian.com/education/2008/may/01/universityguide.highereducation191
Medway School of Pharmacy,http://www.theguardian.com/education/2014/jun/03/universityguide-medway-school-of-pharmacy
Middlesex,http://www.theguardian.com/education/2009/may/10/universityguide-middlesex-uni
Newcastle,http://www.theguardian.com/education/2009/may/10/universityguide-newcastle-uni
