name,url
Newman,http://www.theguardian.com/education/2009/may/10/universityguide-newman-uc-birmingham 
Northampton,http://www.theguardian.com/education/2009/may/10/universityguide-uni-northampton
Northumbria,http://www.theguardian.com/education/2009/may/10/universityguide-northumbria-uni
Norwich University of the Arts,http://www.theguardian.com/education/2009/may/10/universityguide-norwich-uc-arts
Nottingham Trent ,http://www.theguardian.com/education/2009/may/10/universityguide-nottingham-trent-uni
Nottingham,http://www.theguardian.com/education/2009/may/10/universityguide-uni-nottingham
Oxford Brookes,http://www.theguardian.com/education/2009/may/10/universityguide-oxford-brookes-uni
Oxford,http://www.theguardian.com/education/2009/may/10/universityguide-uni-oxford
Peninsula Medical School,http://www.theguardian.com/education/2009/may/10/universityguide-uni-exeter
Plymouth,http://www.theguardian.com/education/2009/may/10/universityguide-uni-plymouth
Portsmouth,http://www.theguardian.com/education/2009/may/10/universityguide-uni-portsmouth
Queen Margaret ,http://www.theguardian.com/education/2009/may/10/universityguide-queen-margaret-uni-edinburgh
Queen Mary,http://www.theguardian.com/education/2009/may/10/universityguide-queen-mary-uni-london
"Queen's, Belfast",http://www.theguardian.com/education/2009/may/10/universityguide-queen-s-uni-belfast
Ravensbourne,http://www.theguardian.com/education/2009/may/10/universityguide-ravensbourne-coll-design-communication
Reading,http://www.theguardian.com/education/2009/may/10/universityguide-uni-reading
Robert Gordon,http://www.theguardian.com/education/2009/may/10/universityguide-robert-gordon-uni
Roehampton ,http://www.theguardian.com/education/2009/may/10/universityguide-roehampton-uni
Rose Bruford College,http://www.theguardian.com/education/2009/may/10/universityguide-rose-bruford-coll
Royal Academy of Music,http://www.theguardian.com/education/2009/may/10/universityguide-royal-academy-music
Royal Agricultural University,http://www.theguardian.com/education/2009/may/10/universityguide-royal-agricultural-coll
Royal Central School of Speech & Drama,http://www.theguardian.com/education/2009/may/10/universityguide-central-school-speech-drama
Royal College of Music,http://www.theguardian.com/education/2009/may/10/universityguide-royal-coll-music
Royal Conservatoire of Scotland,http://www.theguardian.com/education/2009/may/10/universityguide-royal-scottish-academy-music-drama
Royal Holloway,http://www.theguardian.com/education/2009/may/10/universityguide-royal-holloway-uni-london
Royal Northern College of Music,http://www.theguardian.com/education/2009/may/10/universityguide-royal-northern-coll-music
Royal Veterinary College,http://www.theguardian.com/education/2009/may/10/universityguide-royal-veterinary-coll
Royal Welsh College,http://www.theguardian.com/education/2009/may/10/universityguide-royal-welsh-coll-music-drama
Salford,http://www.theguardian.com/education/2009/may/10/universityguide-uni-salford
SOAS,http://www.theguardian.com/education/2009/may/10/universityguide-school-oriental-african-studies
School of Pharmacy,http://www.theguardian.com/education/2009/may/10/universityguide-school-pharmacy-uni-london
SRUC,http://www.theguardian.com/education/2013/jun/04/universityguide-scotlands-rural-college
Sheffield Hallam,http://www.theguardian.com/education/2009/may/10/universityguide-sheffield-hallam-uni
Sheffield,http://www.theguardian.com/education/2009/may/10/universityguide-uni-sheffield
South Wales,http://www.theguardian.com/education/2013/jun/04/universityguide-uni-south-wales
South Wales (Newport),http://www.theguardian.com/education/2013/jun/04/universityguide-uni-south-wales
Southampton,http://www.theguardian.com/education/2009/may/10/universityguide-uni-southampton
Southampton Solent,http://www.theguardian.com/education/2009/may/10/universityguide-southampton-solent-uni
St Andrews,http://www.theguardian.com/education/2009/may/10/universityguide-uni-st-andrews
"St George's, UoL",http://www.theguardian.com/education/2009/may/10/universityguide-st-george-s-uni-london
St Mark and St John,http://www.theguardian.com/education/2009/may/10/universityguide-uc-plymouth-st-mark-st-john
"St Mary's UC, Belfast",http://www.theguardian.com/education/2009/may/10/universityguide-st-mary-s-uc-belfast
"St Mary's, Twickenham",http://www.theguardian.com/education/2009/may/10/universityguide-st-mary-s-uc-twickenham
Staffordshire,http://www.theguardian.com/education/2009/may/10/universityguide-staffordshire-uni
Stirling,http://www.theguardian.com/education/2009/may/10/universityguide-stirling
Stranmillis UC,http://www.theguardian.com/education/2009/may/10/universityguide-stranmillis-uc
Strathclyde,http://www.theguardian.com/education/2009/may/10/universityguide-uni-strathclyde
University Campus Suffolk,http://www.theguardian.com/education/2011/may/16/universityguide-universitycampussuffolk
Sunderland,http://www.theguardian.com/education/2009/may/10/universityguide-uni-sunderland
Surrey,http://www.theguardian.com/education/2009/may/10/universityguide-uni-surrey
Sussex,http://www.theguardian.com/education/2009/may/10/universityguide-uni-sussex
Swansea Met,http://www.theguardian.com/education/2009/may/10/universityguide-swansea-metropolitan-uni
Swansea ,http://www.theguardian.com/education/2009/may/10/universityguide-swansea-uni
Teesside,http://www.theguardian.com/education/2009/may/10/universityguide-teesside-uni
The Liverpool Institute for Performing Arts,http://www.theguardian.com/education/2009/may/10/universityguide-liverpool-institute-performing-arts
The Open University,http://www.theguardian.com/education/2009/may/10/universityguide-open-uni
Trinity Laban Conservatoire,http://www.theguardian.com/education/2009/may/10/university-guide-trinity-laban
Trinity Saint David,http://www.theguardian.com/education/2009/may/10/universityguide-uni-wales-lampeter
UCL,http://www.theguardian.com/education/2009/may/10/universityguide-uc-london
Ulster,http://www.theguardian.com/education/2009/may/10/universityguide-uni-ulster
UWE Bristol,http://www.theguardian.com/education/2009/may/10/universityguide-uni-west-england-bristol
University of the Arts London,http://www.theguardian.com/education/2009/may/10/universityguide-uni-arts-london
University of London,http://www.theguardian.com/education/2010/jan/28/university-guide-university-of-london
University for the Creative Arts,http://www.theguardian.com/education/2009/may/10/universityguide-uni-for-creative-arts
University College Birmingham,http://www.theguardian.com/education/2009/may/10/university-guide-university-college-birmingham
UEA,http://www.theguardian.com/education/2009/may/10/universityguide-uni-east-anglia
Warwick,http://www.theguardian.com/education/2009/may/10/universityguide-uni-warwick
West London,http://www.theguardian.com/education/2009/may/10/universityguide-thames-valley-uni
West of Scotland,http://www.theguardian.com/education/2009/may/10/universityguide-uni-west-scotland
Westminster,http://www.theguardian.com/education/2009/may/10/universityguide-uni-westminster
Winchester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-winchester
Wolverhampton,http://www.theguardian.com/education/2009/may/10/universityguide-uni-wolverhampton
Worcester,http://www.theguardian.com/education/2009/may/10/universityguide-uni-worcester
Writtle College,http://www.theguardian.com/education/2009/may/10/universityguide-writtle-coll
York St John,http://www.theguardian.com/education/2009/may/10/universityguide-york-st-john-uni
York,http://www.theguardian.com/education/2009/may/10/universityguide-uni-york
